Epochs,AL-Random Forest,AL-P++5x5,AL-P++10x12,P++5%,P++25%
1,0.5084,,,0.565725043,0.625833379
2,0.5321,,,0.438911826,0.482654802
3,0.6631,,,0.652475452,0.481729641
4,0.6598,,,0.446773384,0.609108152
5,0.6319,0.7539,,0.520991104,0.529372701
6,,,0.8036,0.478879784,0.521596516
7,,,,0.354366118,0.477147325
8,,,,0.48783827,0.479632129
9,,,,0.55393487,0.524533513
10,,0.8051,,0.534459549,0.477378332
11,,,,0.623031903,0.504650765
12,,,,0.582396261,0.517800582
13,,,,0.508363732,0.593625244
14,,,,0.489568929,0.46566576
15,,0.6541,,0.544375943,0.463893048
16,,,0.5076,0.474168008,0.622364034
17,,,,0.605224983,0.509476706
18,,,,0.537709322,0.534897309
19,,,,0.515211149,0.558179905
20,,0.5433,,0.590070247,0.508626702
21,,,0.6612,0.508001147,0.666817781
22,,,,0.527947009,0.579585782
23,,,,0.448323211,0.534333026
24,,,,0.593474166,0.556044217
25,,0.6628,,0.61478578,0.683563613
26,,,,0.630233597,0.586364985
27,,,,0.606008871,0.616414566
28,,,,0.669266899,0.643946008
29,,,,0.614972524,0.672158026
30,,,,0.717264431,0.529924576
31,,,,0.546978936,0.682740927
32,,,0.6364,0.539367702,0.671594156
33,,,,0.573540629,0.718992684
34,,,0.4839,0.573114648,0.796567905