Epochs,AL-P++5x5_0,AL-P++5x5_1,AL-P++5x5_2,AL-P++5x5_3,AL-P++5x5_4,AL-P++10x12_0,AL-P++10x12_1,AL-P++10x12_2,AL-P++10x12_3,AL-P++10x12_4,P++5%,P++25%
0,,,,,,0.364356579,,,,,0.488166796,0.625833379
1,0.753905358,,,,,0.698925939,,,,,0.406929128,0.482654802
2,0.487297543,,,,,0.803585612,,,,,0.525025637,0.481729641
3,0.523296131,0.805115159,,,,0.518652776,,,,,0.390587032,0.609108152
4,0.496035931,0.47687641,,,,0.594128458,0.495725553,,,,0.449988928,0.529372701
5,0.676556107,0.734777508,,,,0.612492143,0.478174186,,,,0.439895648,0.521596516
6,,0.661342809,,,,,0.478174186,,,,0.361297108,0.477147325
7,,0.481610592,0.528968916,,,,0.480542376,,,,0.511723218,0.479632129
8,,,0.477524246,,,,0.480542376,,,,0.490259937,0.524533513
9,,,0.509215579,0.478230889,,,0.507580255,0.661170001,,,0.447576658,0.477378332
10,,,0.527886552,0.53967705,,,0.480542376,0.649725707,,,0.51212354,0.504650765
11,,,0.654117919,0.54332241,0.626512362,,0.478179953,0.532222404,,,0.535926388,0.517800582
12,,,,0.507967166,0.533278023,,0.480542376,0.477093188,,,0.457003109,0.593625244
13,,,,0.476909176,0.506952704,,0.480536608,0.47779122,,,0.438636042,0.46566576
14,,,,,0.501976831,,0.478174186,0.561294254,,,0.494223734,0.463893048
15,,,,,0.662794359,,0.478174186,0.562071374,,,0.470619467,0.622364034
16,,,,,,,,0.591113931,,,0.533447769,0.509476706
17,,,,,,,,0.584913934,,,0.462424105,0.534897309
18,,,,,,,,0.479506399,,,0.460358465,0.558179905
19,,,,,,,,0.637114921,,,0.534827838,0.508626702
20,,,,,,,,0.477094948,0.570731527,,0.501949385,0.666817781
21,,,,,,,,,0.636445444,,0.481190682,0.579585782
22,,,,,,,,,0.537660047,,0.477501062,0.534333026
23,,,,,,,,,0.537984524,,0.524823792,0.556044217
24,,,,,,,,,0.480483449,,0.541147536,0.683563613
25,,,,,,,,,0.484693048,,0.588677506,0.586364985
26,,,,,,,,,0.554448586,,0.538808146,0.616414566
27,,,,,,,,,0.572965885,,0.575660041,0.643946008
28,,,,,,,,,0.575474659,,0.508995919,0.672158026
29,,,,,,,,,0.52941698,,0.588835316,0.529924576
30,,,,,,,,,0.574218173,0.483855153,0.524090904,0.682740927
31,,,,,,,,,0.611162438,0.483453076,0.509466294,0.671594156
32,,,,,,,,,,0.476841824,0.53584249,0.718992684
33,,,,,,,,,,0.476866912,0.512124339,0.796567905
34,,,,,,,,,,,0.523687031,0.816569571
35,,,,,,,,,,,0.536065524,0.811389758
36,,,,,,,,,,,0.544703032,0.799961982
37,,,,,,,,,,,0.643339832,0.731428309
38,,,,,,,,,,,0.530036955,0.722644094
39,,,,,,,,,,,0.538092191,0.65810995
40,,,,,,,,,,,0.568161996,0.515648667
41,,,,,,,,,,,0.59414781,0.78815624
42,,,,,,,,,,,0.589738325,0.77952386
43,,,,,,,,,,,0.53638064,0.780763865
44,,,,,,,,,,,0.516897901,0.7836955
45,,,,,,,,,,,0.541297606,0.835255555
46,,,,,,,,,,,0.506797913,0.783981418
47,,,,,,,,,,,0.550563235,0.838315633
48,,,,,,,,,,,0.642981439,0.786466325
49,,,,,,,,,,,0.538198022,0.820837482
50,,,,,,,,,,,0.65302011,0.856919305
51,,,,,,,,,,,0.598959787,0.811221959
52,,,,,,,,,,,0.613266095,0.816092174
53,,,,,,,,,,,0.572741719,0.803905657
54,,,,,,,,,,,0.586924832,0.675136185
55,,,,,,,,,,,0.67363009,0.726659267
56,,,,,,,,,,,0.644039837,0.814877505
57,,,,,,,,,,,0.579944229,0.760494287
58,,,,,,,,,,,0.590589173,0.562212176
59,,,,,,,,,,,0.626300326,0.759897403